BirthDate,Colleges,Feet,From,Inches,Player,PlayerAdditional,Pos,To,Weight,_id
June 19 1922,Denver,6,1950,1,Jimmy Darden,dardeji01,G,1950,170,63af8fcbabaabaf6d8915a6d
July 28 1944,Michigan,6,1968,7,Ollie Darden,dardeol01,F-C,1970,235,63af8fcbabaabaf6d8915a6e
October 10 1972,George Washington,7,1995,1,Yinka Dare,dareyi01,C,1998,265,63af8fcbabaabaf6d8915a6f
September 2 1951,VCU,6,1975,5,Jesse Dark,darkje01,G,1975,210,63af8fcbabaabaf6d8915a70
August 30 1998,UAB University of Delaware,6,2021,6,Nate Darling,darlina01,G,2021,200,63af8fcbabaabaf6d8915a71
January 1 1953,Cypress College Indiana State University San Jose State,6,1976,10,Rick Darnell,darneri01,C-F,1976,215,63af8fcbabaabaf6d8915a72
September 25 1937,Bowling Green,5,1962,10,Jimmy Darrow,darroji01,G,1962,170,63af8fcbabaabaf6d8915a73
November 27 1987,,6,2014,8,Gigi Datome,datomlu01,F,2015,215,63af8fcbabaabaf6d8915a74
October 19 1965,UNC,7,1987,1,Brad Daugherty,daughbr01,C,1994,245,63af8fcbabaabaf6d8915a75
July 20 1946,Albany State University,6,1971,3,Mack Daughtry,daughma01,G,1971,175,63af8fcbabaabaf6d8915a76
October 22 1971,,6,1999,9,Kornél Dávid,davidko01,F,2001,235,63af8fcbabaabaf6d8915a77
November 15 1984,Alabama,6,2008,10,Jermareo Davidson,davidje01,F,2009,230,63af8fcbabaabaf6d8915a78
July 25 1991,BYU,6,2014,10,Brandon Davies,daviebr01,F,2015,240,63af8fcbabaabaf6d8915a7a
March 11 1993,Kentucky,6,2013,10,Anthony Davis,davisan02,F-C,2023,253,63af8fcbabaabaf6d8915a7b
October 31 1968,Texas-El Paso,6,1994,9,Antonio Davis,davisan01,F-C,2006,215,63af8fcbabaabaf6d8915a7c
March 28 1921,Oklahoma Baptist University,6,1947,2,Aubrey Davis,davisau01,G-F,1947,175,63af8fcbabaabaf6d8915a7d
April 13 1979,UCLA,6,2000,3,Baron Davis,davisba01,G,2012,209,63af8fcbabaabaf6d8915a7e
December 26 1972,Kansas Arizona,6,1997,9,Ben Davis,davisbe01,F,2000,240,63af8fcbabaabaf6d8915a7f
October 3 1920,Notre Dame,6,1947,3,Bill Davis,davisbi01,F,1947,215,63af8fcbabaabaf6d8915a80
April 2 1950,Weber State,6,1973,7,Bob Davis,davisbo01,F,1973,215,63af8fcbabaabaf6d8915a81
December 17 1955,Maryland,6,1978,3,Brad Davis,davisbr01,G,1992,180,63af8fcbabaabaf6d8915a82
June 21 1970,Duke,6,1994,7,Brian Davis,davisbr02,F-G,1994,200,63af8fcbabaabaf6d8915a83
October 5 1958,Vanderbilt,6,1982,7,Charles Davis,davisch02,F,1990,215,63af8fcbabaabaf6d8915a84
September 7 1949,Wake Forest,6,1972,2,Charlie Davis,davisch01,G,1974,160,63af8fcbabaabaf6d8915a85
March 25 1969,Clemson,6,1992,11,Dale Davis,davisda01,F-C,2007,230,63af8fcbabaabaf6d8915a86
December 2 1996,Michigan State,6,2017,11,Deyonta Davis,davisde01,C-F,2019,237,63af8fcbabaabaf6d8915a87
October 28 1949,Houston,6,1973,8,Dwight Davis,davisdw01,F,1977,220,63af8fcbabaabaf6d8915a88
June 5 1989,UNC,6,2011,9,Ed Davis,davised01,F,2022,218,63af8fcbabaabaf6d8915a89
August 27 1968,Delaware State University,6,1997,4,Emanual Davis,davisem01,G,2003,195,63af8fcbabaabaf6d8915a8a
January 1 1986,LSU,6,2008,9,Glen Davis,davisgl01,F-C,2015,289,63af8fcbabaabaf6d8915a8b
January 27 1956,Florida State,6,1979,7,Harry Davis,davisha01,F,1980,220,63af8fcbabaabaf6d8915a8c
May 17 1970,UNC,6,1993,5,Hubert Davis,davishu01,G,2004,183,63af8fcbabaabaf6d8915a8d
December 18 1941,Colorado,6,1968,9,Jim Davis,davisji01,C-F,1975,225,63af8fcbabaabaf6d8915a8e
October 21 1955,Dayton,6,1977,2,Johnny Davis,davisjo01,G,1986,170,63af8fcbabaabaf6d8915a8f
February 27 2002,Wisconsin,6,2023,5,Johnny Davis,davisjo06,G,2023,196,63af8fcbabaabaf6d8915a90
August 10 1980,Wyoming,6,2004,8,Josh Davis,davisjo02,F,2012,235,63af8fcbabaabaf6d8915a91
October 11 1945,NC Central,6,1969,8,Lee Davis,davisle01,C-F,1976,235,63af8fcbabaabaf6d8915a92
June 8 1963,Old Dominion,6,1989,6,Mark Davis,davisma01,F-G,1989,195,63af8fcbabaabaf6d8915a93
April 26 1973,Howard College Texas Tech,6,1996,7,Mark Davis,davisma02,G-F,2000,210,63af8fcbabaabaf6d8915a94
November 9 1950,"St. John's",6,1974,6,Mel Davis,davisme01,F,1977,220,63af8fcbabaabaf6d8915a95
June 16 1950,Duquesne,6,1972,7,Mickey Davis,davismi02,F-G,1977,195,63af8fcbabaabaf6d8915a96
July 26 1946,Virginia Union University,6,1970,3,Mike Davis,davismi01,G,1973,185,63af8fcbabaabaf6d8915a97
August 2 1956,Maryland,6,1983,10,Mike Davis,davismi03,F,1983,230,63af8fcbabaabaf6d8915a98
July 26 1958,Tennessee State,6,1981,7,Monti Davis,davismo01,F,1981,205,63af8fcbabaabaf6d8915a99
July 21 1984,Michigan State,6,2007,11,Paul Davis,davispa01,C,2010,270,63af8fcbabaabaf6d8915a9a
September 7 1938,Cincinnati,6,1961,4,Ralph Davis,davisra01,G,1962,180,63af8fcbabaabaf6d8915a9b
April 22 1932,"St. John's",6,1956,7,Red Davis,davisre01,C,1956,220,63af8fcbabaabaf6d8915a9c
September 23 1979,Iowa,6,1999,6,Ricky Davis,davisri01,G,2010,195,63af8fcbabaabaf6d8915a9d
May 1 1954,Washington State,6,1977,6,Ron Davis,davisro01,G-F,1982,198,63af8fcbabaabaf6d8915a9e
May 16 1997,Ole Miss,6,2020,4,Terence Davis,daviste02,G,2023,201,63af8fcbabaabaf6d8915a9f
June 17 1967,Virginia Union University,6,1990,9,Terry Davis,daviste01,F-C,2001,225,63af8fcbabaabaf6d8915aa0
May 22 1997,Texas A&M,6,2019,10,Tyler Davis,davisty01,C,2019,266,63af8fcbabaabaf6d8915aa1
January 5 1931,Texas A&M,6,1954,8,Walt Davis,daviswa01,C-F,1958,205,63af8fcbabaabaf6d8915aa2
September 9 1954,UNC,6,1978,6,Walter Davis,daviswa03,G-F,1992,193,63af8fcbabaabaf6d8915aa3
June 30 1943,North Carolina A&T,6,1968,6,Warren Davis,daviswa02,F-C,1973,212,63af8fcbabaabaf6d8915aa4
August 9 1945,University of North Texas,6,1971,8,Willie Davis,daviswi01,C,1971,234,63af8fcbabaabaf6d8915aa5
October 3 2002,Alabama,6,2023,3,JD Davison,davisjd01,G,2023,195,63af8fcbabaabaf6d8915aa6
September 19 1991,Duke,6,2015,5,Andre Dawkins,dawkian01,G,2015,215,63af8fcbabaabaf6d8915aa7
January 11 1957,,6,1976,11,Darryl Dawkins,dawkida01,C,1989,251,63af8fcbabaabaf6d8915aa8
September 28 1963,Duke,6,1987,2,Johnny Dawkins,dawkijo01,G,1995,165,63af8fcbabaabaf6d8915aa9
June 10 1957,Northern Illinois,6,1980,5,Paul Dawkins,dawkipa01,F,1980,190,63af8fcbabaabaf6d8915aaa
February 1 1993,Michigan State,6,2016,6,Branden Dawson,dawsobr01,F,2016,225,63af8fcbabaabaf6d8915aab
July 7 1984,Midwestern State University,6,2012,9,Eric Dawson,dawsoer01,F,2012,250,63af8fcbabaabaf6d8915aac
April 18 1945,Illinois,6,1968,1,Jimmy Dawson,dawsoji01,G,1968,175,63af8fcbabaabaf6d8915aad
August 25 1967,Florida State,6,1991,7,Tony Dawson,dawsoto01,F,1995,215,63af8fcbabaabaf6d8915aae
January 7 1970,Arkansas,6,1993,6,Todd Day,dayto01,G-F,2001,188,63af8fcbabaabaf6d8915aaf
June 5 1988,Gonzaga,6,2010,11,Austin Daye,dayeau01,F,2015,220,63af8fcbabaabaf6d8915ab0
November 30 1960,UCLA,6,1984,8,Darren Daye,dayeda01,F-G,1988,220,63af8fcbabaabaf6d8915ab1
June 23 1987,,6,2013,5,Nando De Colo,decolna01,G,2014,200,63af8fcbabaabaf6d8915ab2
October 5 1946,"Saint Joseph's",6,1971,1,Billy DeAngelis,deangbi01,G,1971,180,63af8fcbabaabaf6d8915ab3
February 1 1973,Florida,6,1996,10,Andrew DeClercq,declean01,F-C,2005,230,63af8fcbabaabaf6d8915ab5
April 7 1998,Duke,6,2022,10,Javin DeLaurier,delauja01,F,2022,237,63af8fcbabaabaf6d8915ab6
January 5 1926,Wisconsin-River Falls,6,1952,6,Nate DeLong,delonna01,C,1952,220,63af8fcbabaabaf6d8915ab7
December 19 1947,"St. John's",6,1971,3,Joe DePre,deprejo01,G,1973,185,63af8fcbabaabaf6d8915ab8
August 7 1989,USC,6,2010,6,DeMar DeRozan,derozde01,G-F,2023,220,63af8fcbabaabaf6d8915ab9
February 12 1922,Clark Atlanta University,6,1951,6,Hank DeZonie,dezonha01,C-F,1951,215,63af8fcbabaabaf6d8915aba
December 6 1957,Utah,6,1980,4,Greg Deane,deanegr01,G,1980,190,63af8fcbabaabaf6d8915abb
February 8 1995,,6,2021,8,Gabriel Deck,deckga01,F,2022,232,63af8fcbabaabaf6d8915abc
August 12 1989,USC,7,2014,1,Dewayne Dedmon,dedmode01,C,2023,245,63af8fcbabaabaf6d8915abd
August 9 1943,Saint Louis Saint Mary of the Plains College,6,1969,8,Don Dee,deedo01,F,1969,210,63af8fcbabaabaf6d8915abe
February 22 1936,Indiana,6,1959,8,Archie Dees,deesar01,F-C,1962,205,63af8fcbabaabaf6d8915abf
September 12 1971,Seton Hall,6,1994,2,Terry Dehere,deherte01,G,1999,190,63af8fcbabaabaf6d8915ac0
January 24 1924,Columbia University,6,1947,3,Red Dehnert,dehnere01,F,1947,175,63af8fcbabaabaf6d8915ac1
August 21 1992,USC UNLV Iowa State,6,2016,6,Bryce Dejean-Jones,dejeabr01,G,2016,209,63af8fcbabaabaf6d8915ac2
May 6 1994,Wisconsin,6,2016,9,Sam Dekker,dekkesa01,F,2022,230,63af8fcbabaabaf6d8915ac3
August 9 1966,NC State,6,1989,4,Vinny Del Negro,delnevi01,G,2002,185,63af8fcbabaabaf6d8915ac4
March 11 1989,Virginia Tech,6,2017,3,Malcolm Delaney,delanma01,G,2018,190,63af8fcbabaabaf6d8915ac5
April 6 1969,Maryland Arizona,6,1992,9,Bison Dele,delebi01,F-C,1999,235,63af8fcbabaabaf6d8915ac6
August 29 1982,,6,2005,6,Carlos Delfino,delfica01,G,2013,230,63af8fcbabaabaf6d8915ac7
November 20 1994,Seton Hall,6,2019,10,Ángel Delgado,delgaan01,C,2019,245,63af8fcbabaabaf6d8915ac8
January 28 1974,Kentucky,6,1997,1,Tony Delk,delkto01,G,2006,189,63af8fcbabaabaf6d8915ac9
September 8 1990,"Saint Mary's",6,2014,3,Matthew Dellavedova,dellama01,G,2023,200,63af8fcbabaabaf6d8915aca
January 24 1966,Wyoming,6,1989,5,Fennis Dembo,dembofe01,F,1989,215,63af8fcbabaabaf6d8915acb
June 27 1957,Arizona,6,1980,9,Larry Demic,demicla01,F-C,1982,225,63af8fcbabaabaf6d8915acc
February 12 1970,University of the Pacific,6,1994,3,Dell Demps,dempsde01,G,1997,205,63af8fcbabaabaf6d8915acd
July 19 1929,"King's College",6,1955,2,George Dempsey,dempsge01,G,1959,190,63af8fcbabaabaf6d8915ace
April 16 1985,Duke,6,2005,9,Luol Deng,denglu01,F,2019,237,63af8fcbabaabaf6d8915acf
October 18 1958,Duke,6,1982,8,Kenny Dennard,dennake01,F,1984,220,63af8fcbabaabaf6d8915ad0
September 19 1930,Lawrence Technological University,6,1953,2,Blaine Denning,dennibl01,G,1953,175,63af8fcbabaabaf6d8915ad1
September 5 1985,Washington,5,2012,11,Justin Dentmon,dentmju01,G,2013,185,63af8fcbabaabaf6d8915ad2
February 18 1949,Duke,6,1972,10,Randy Denton,dentora01,C,1977,240,63af8fcbabaabaf6d8915ad3
March 11 1952,Seattle University,6,1975,1,Rod Derline,derliro01,G,1976,175,63af8fcbabaabaf6d8915ad4
February 1 1996,Georgetown,6,2019,7,Marcus Derrickson,derrima01,F,2019,249,63af8fcbabaabaf6d8915ad5
May 13 1945,University of Rochester,6,1967,1,Dave Deutsch,deutsda01,G,1967,170,63af8fcbabaabaf6d8915ad6
December 21 1931,George Washington,6,1956,5,Corky Devlin,devlico01,G,1958,195,63af8fcbabaabaf6d8915ad7
January 15 1951,Providence,6,1974,1,Ernie DiGregorio,digreer01,G,1978,180,63af8fcbabaabaf6d8915ad8
January 31 1997,Villanova,6,2019,4,Donte DiVincenzo,divindo01,G,2023,203,63af8fcbabaabaf6d8915ad9
January 21 2002,Michigan,6,2023,11,Moussa Diabaté,diabamo01,F,2023,210,63af8fcbabaabaf6d8915ada
January 21 1997,Virginia,6,2021,9,Mamadi Diakite,diakima01,F,2023,228,63af8fcbabaabaf6d8915adb
December 20 1975,Eastern Michigan,6,2000,4,Derrick Dial,dialde01,G,2004,184,63af8fcbabaabaf6d8915adc
September 13 1996,Kansas,6,2017,8,Cheick Diallo,diallch01,F,2022,219,63af8fcbabaabaf6d8915add
July 31 1998,Kentucky,6,2019,5,Hamidou Diallo,diallha01,G,2023,202,63af8fcbabaabaf6d8915ade
April 16 1982,,6,2004,8,Boris Diaw,diawbo01,F-C,2017,250,63af8fcbabaabaf6d8915adf
August 29 1982,Pepperdine,6,2007,7,Yakhouba Diawara,diawaya01,G-F,2010,225,63af8fcbabaabaf6d8915ae0
March 4 1985,Miami (FL),6,2008,2,Guillermo Díaz,diazgu01,G,2008,192,63af8fcbabaabaf6d8915ae1
September 16 1978,Washington Gonzaga,6,2003,1,Dan Dickau,dickada01,G,2008,190,63af8fcbabaabaf6d8915ae2
July 21 1978,Tyler Junior College Idaho,6,2004,8,Kaniel Dickens,dickeka01,F,2008,215,63af8fcbabaabaf6d8915ae3
November 27 1951,University of Charleston,6,1976,4,Henry Dickerson,dickehe01,G,1977,190,63af8fcbabaabaf6d8915ae4
June 25 1975,Arizona,6,1999,5,Michael Dickerson,dickemi01,G-F,2003,190,63af8fcbabaabaf6d8915ae5
December 14 1951,Cochise Community College Boise State,6,1975,3,Clyde Dickey,dickecl01,G,1975,185,63af8fcbabaabaf6d8915ae6
March 20 1951,Cincinnati,6,1974,7,Derrek Dickey,dickede01,F,1978,218,63af8fcbabaabaf6d8915ae7
October 26 1926,NC State,6,1952,1,Dick Dickey,dickedi01,G,1952,175,63af8fcbabaabaf6d8915ae8
November 18 1945,Arkansas State University,6,1968,10,John Dickson,dicksjo01,C,1968,240,63af8fcbabaabaf6d8915ae9
March 1 1982,Marquette,6,2006,1,Travis Diener,dienetr01,G,2010,175,63af8fcbabaabaf6d8915aea
January 18 1990,Louisville,6,2014,10,Gorgui Dieng,dienggo01,C,2023,252,63af8fcbabaabaf6d8915aeb
May 21 2003,,6,2023,10,Ousmane Dieng,diengou01,F,2023,216,63af8fcbabaabaf6d8915aec
October 2 1936,Cincinnati,6,1959,9,Connie Dierking,dierkco01,C-F,1971,222,63af8fcbabaabaf6d8915aed
July 23 1948,San Jose State,6,1971,10,Coby Dietrick,dietrco01,C-F,1983,220,63af8fcbabaabaf6d8915aee
December 17 1944,Michigan,6,1968,11,Craig Dill,dillcr01,C,1968,215,63af8fcbabaabaf6d8915aef
March 9 1949,Eastern Michigan,6,1976,6,Dwaine Dillard,dilladw01,F,1976,230,63af8fcbabaabaf6d8915af0
October 15 1958,Florida State,6,1982,3,Mickey Dillard,dillami01,G,1982,170,63af8fcbabaabaf6d8915af1
July 2 1917,Valparaiso,6,1947,3,Bob Dille,dillebo01,F,1947,190,63af8fcbabaabaf6d8915af2
January 8 1924,UNC,6,1950,3,Hook Dillon,dilloho01,F,1950,180,63af8fcbabaabaf6d8915af3
June 15 1967,UNC Charlotte,6,1990,1,Byron Dinkins,dinkiby01,G,1991,170,63af8fcbabaabaf6d8915af4
January 22 1950,Voorhees College,6,1972,5,Jackie Dinkins,dinkija01,F,1972,210,63af8fcbabaabaf6d8915af5
October 9 1940,Pepperdine,6,1968,4,Harry Dinnel,dinneha01,F-G,1968,200,63af8fcbabaabaf6d8915af6
July 15 1943,New Mexico Highlands University,6,1968,7,Bill Dinwiddie,dinwibi01,F,1972,220,63af8fcbabaabaf6d8915af7
April 6 1993,Colorado,6,2015,5,Spencer Dinwiddie,dinwisp01,G,2023,215,63af8fcbabaabaf6d8915af8
September 11 1983,Arizona State,6,2006,8,Ike Diogu,dioguik01,F,2012,250,63af8fcbabaabaf6d8915af9
January 30 1982,,7,2002,1,DeSagana Diop,diopde01,C,2013,300,63af8fcbabaabaf6d8915afa
November 21 1940,Purdue,6,1963,7,Terry Dischinger,dischte01,F-G,1973,189,63af8fcbabaabaf6d8915afb
January 9 1929,St. Bonaventure,6,1955,3,Fred Diute,diutefr01,G,1955,210,63af8fcbabaabaf6d8915afc
October 9 1978,Maryland,6,2003,3,Juan Dixon,dixonju01,G,2009,164,63af8fcbabaabaf6d8915afe
November 1 1924,Truman State University,6,1950,5,Earl Dodd,doddea01,F,1950,175,63af8fcbabaabaf6d8915aff
June 15 1977,Utah,6,1999,11,Michael Doleac,doleami01,C,2008,262,63af8fcbabaabaf6d8915b00
July 9 1927,NYU,6,1950,1,Joe Dolhon,dolhojo01,G,1951,175,63af8fcbabaabaf6d8915b01
August 10 1919,Colorado,6,1947,5,Bob Doll,dollbo01,F-C,1950,195,63af8fcbabaabaf6d8915b02
August 16 1957,Washington State,7,1981,2,James Donaldson,donalja01,C,1995,275,63af8fcbabaabaf6d8915b03
February 28 1999,,6,2019,7,Luka Dončić,doncilu01,G-F,2023,230,63af8fcbabaabaf6d8915b04
October 11 1926,Ohio State,6,1951,2,Bob Donham,donhabo01,G-F,1954,190,63af8fcbabaabaf6d8915b05
May 30 1965,Providence,5,1988,11,Billy Donovan,donovbi01,G,1988,171,63af8fcbabaabaf6d8915b06
September 10 1926,Muhlenberg College,6,1950,2,Harry Donovan,donovha01,G,1950,180,63af8fcbabaabaf6d8915b07
May 8 1980,Missouri,6,2001,3,Keyon Dooling,doolike01,G,2013,196,63af8fcbabaabaf6d8915b08
August 26 1967,,6,1997,2,Aleksandar Djordjevic,djordal01,G,1997,198,63af8fcbabaabaf6d8915b09
December 18 1954,Georgia,6,1978,7,Jacky Dorsey,dorseja01,F,1981,230,63af8fcbabaabaf6d8915b0a
December 16 1983,Memphis,6,2009,8,Joey Dorsey,dorsejo01,F,2015,268,63af8fcbabaabaf6d8915b0b
October 10 1948,Tennessee State,6,1972,4,Ron Dorsey,dorsero01,F,1972,200,63af8fcbabaabaf6d8915b0c
February 18 1996,Oregon,6,2018,5,Tyler Dorsey,dorsety01,G,2023,183,63af8fcbabaabaf6d8915b0d
April 19 1999,Arizona State,6,2020,3,Luguentz Dort,dortlu01,G,2023,215,63af8fcbabaabaf6d8915b0e
January 17 2000,Illinois,6,2022,5,Ayo Dosunmu,dosunay01,G,2023,200,63af8fcbabaabaf6d8915b0f
May 6 1994,Oregon Houston,6,2018,5,Damyean Dotson,dotsoda01,G,2022,210,63af8fcbabaabaf6d8915b10
August 2 1999,Kansas,6,2021,2,Devon Dotson,dotsode01,G,2023,185,63af8fcbabaabaf6d8915b11
May 16 1984,Rutgers University,6,2007,3,Quincy Douby,doubyqu01,G,2009,175,63af8fcbabaabaf6d8915b12
April 9 1964,Illinois,6,1987,3,Bruce Douglas,douglbr01,G,1987,195,63af8fcbabaabaf6d8915b13
June 12 1956,Kansas,6,1982,2,John Douglas,dougljo01,G,1983,170,63af8fcbabaabaf6d8915b14
August 26 1954,Alabama,6,1977,10,Leon Douglas,douglle01,C-F,1983,230,63af8fcbabaabaf6d8915b15
September 15 1966,Syracuse,6,1990,1,Sherman Douglas,douglsh01,G,2001,180,63af8fcbabaabaf6d8915b16
March 16 1986,Auburn Florida State,6,2010,2,Toney Douglas,douglto01,G,2017,195,63af8fcbabaabaf6d8915b17
January 8 1987,Memphis,6,2009,7,Chris Douglas-Roberts,douglch01,G,2015,200,63af8fcbabaabaf6d8915b18
December 23 2000,,6,2020,8,Sekou Doumbouya,doumbse01,F,2022,230,63af8fcbabaabaf6d8915b19
August 16 1945,"St. John's",6,1968,7,Sonny Dove,doveso01,F,1972,198,63af8fcbabaabaf6d8915b1a
October 16 1949,LeMoyne-Owen College,5,1972,7,Jerry Dover,doverje01,G,1972,155,63af8fcbabaabaf6d8915b1b
September 10 1984,Virginia Tech,6,2011,3,Zabian Dowdell,dowdeza01,G,2011,191,63af8fcbabaabaf6d8915b1c
November 11 1923,Marquette,6,1948,6,Bill Downey,downebi01,C,1948,210,63af8fcbabaabaf6d8915b1d
September 9 1950,Indiana,6,1974,8,Steve Downing,downist01,C,1975,225,63af8fcbabaabaf6d8915b1e
May 10 1997,Rhode Island,6,2022,3,Jeff Dowtin,dowtije01,G,2023,185,63af8fcbabaabaf6d8915b1f
February 6 1940,Belmont Abbey College,6,1963,8,Danny Doyle,doyleda01,F,1963,200,63af8fcbabaabaf6d8915b20
October 31 1993,Loyola Chicago,6,2018,4,Milton Doyle,doylemi01,G,2018,185,63af8fcbabaabaf6d8915b21
October 25 1996,South Carolina,6,2018,6,PJ Dozier,doziepj01,G,2022,205,63af8fcbabaabaf6d8915b22
June 29 1966,South Carolina,6,1990,9,Terry Dozier,doziete01,F,1990,210,63af8fcbabaabaf6d8915b23
May 6 1986,,6,2009,3,Goran Dragić,dragigo01,G,2023,190,63af8fcbabaabaf6d8915b24
June 22 1989,,6,2015,5,Zoran Dragić,dragizo01,G-F,2015,200,63af8fcbabaabaf6d8915b25
November 7 1962,Wichita State Kansas,7,1987,1,Greg Dreiling,dreilgr01,C,1997,250,63af8fcbabaabaf6d8915b26
September 21 1974,Valparaiso,6,1999,2,Bryce Drew,drewbr01,G,2004,185,63af8fcbabaabaf6d8915b27
September 30 1954,Gardner-Webb University,6,1975,6,John Drew,drewjo01,F-G,1985,205,63af8fcbabaabaf6d8915b28
April 2 1958,Missouri,6,1981,1,Larry Drew,drewla01,G,1991,170,63af8fcbabaabaf6d8915b29
March 5 1990,UNC UCLA,6,2015,2,Larry Drew II,drewla02,G,2018,180,63af8fcbabaabaf6d8915b2a
October 12 1973,University of Montevallo,6,1997,5,Nate Driggers,driggna01,G,1997,215,63af8fcbabaabaf6d8915b2c
August 28 1947,Boston College,6,1971,7,Terry Driscoll,driscte01,F,1975,215,63af8fcbabaabaf6d8915b2d
October 27 1975,,6,2002,11,Predrag Drobnjak,drobnpr01,C,2005,270,63af8fcbabaabaf6d8915b2e
April 20 1954,UCLA,7,1981,2,Ralph Drollinger,drollra01,C,1981,250,63af8fcbabaabaf6d8915b2f
August 10 1993,UConn,6,2013,10,Andre Drummond,drumman01,C,2023,279,63af8fcbabaabaf6d8915b30
March 31 1952,Syracuse,6,1975,3,Dennis DuVal,duvalde01,G,1976,175,63af8fcbabaabaf6d8915b31
June 13 1997,Oregon,6,2022,6,Chris Duarte,duartch01,G,2023,190,63af8fcbabaabaf6d8915b32
March 25 1933,"St. John's",6,1958,1,Dick Duckett,duckedi01,G,1958,185,63af8fcbabaabaf6d8915b33
April 1 1964,Eastern Illinois University,7,1987,1,Kevin Duckworth,duckwke01,C,1997,275,63af8fcbabaabaf6d8915b34
March 5 1950,Washington,6,1973,2,Charles Dudley,dudlech01,G,1979,180,63af8fcbabaabaf6d8915b35
February 22 1965,Yale,6,1988,11,Chris Dudley,dudlech02,C,2003,235,63af8fcbabaabaf6d8915b36
July 10 1985,Boston College,6,2008,6,Jared Dudley,dudleja01,F-G,2021,237,63af8fcbabaabaf6d8915b37
July 29 1956,Detroit Mercy,6,1980,2,Terry Duerod,duerote01,G,1983,180,63af8fcbabaabaf6d8915b38
July 5 1922,Tulane,6,1947,4,Bob Duffy,duffybo01,F,1947,175,63af8fcbabaabaf6d8915b39
September 26 1940,Colgate,6,1963,3,Bob Duffy,duffybo02,G,1965,185,63af8fcbabaabaf6d8915b3a
August 31 1982,Duke,6,2005,1,Chris Duhon,duhonch01,G,2013,185,63af8fcbabaabaf6d8915b3b
December 4 1991,Wisconsin,6,2016,9,Duje Dukan,dukandu01,F,2016,220,63af8fcbabaabaf6d8915b3c
October 13 1999,Providence,6,2022,5,David Duke Jr.,dukeda01,G,2023,205,63af8fcbabaabaf6d8915b3d
June 23 1930,Seton Hall,7,1956,1,Walter Dukes,dukeswa01,C,1963,220,63af8fcbabaabaf6d8915b3e
April 21 1944,Northeastern State University,6,1969,3,Rich Dumas,dumasri01,G,1969,170,63af8fcbabaabaf6d8915b40
May 19 1969,Oklahoma State,6,1993,7,Richard Dumas,dumasri02,F,1996,200,63af8fcbabaabaf6d8915b41
August 25 1972,Missouri-Kansas City,6,1995,6,Tony Dumas,dumasto01,G,1998,190,63af8fcbabaabaf6d8915b42
April 17 1922,William & Mary,6,1949,6,Andy Duncan,duncaan01,F-C,1951,195,63af8fcbabaabaf6d8915b43
March 21 1954,South Carolina,6,1977,3,Mike Dunleavy,dunlemi01,G,1990,180,63af8fcbabaabaf6d8915b45
September 15 1980,Duke,6,2003,9,Mike Dunleavy,dunlemi02,F-G,2017,230,63af8fcbabaabaf6d8915b46
March 18 1994,Providence,6,2017,3,Kris Dunn,dunnkr01,G,2022,205,63af8fcbabaabaf6d8915b47
March 17 1931,Utah State University,6,1958,2,Pat Dunn,dunnpa01,G,1958,170,63af8fcbabaabaf6d8915b48
February 1 1955,Alabama,6,1978,4,T.R. Dunn,dunntr01,G-F,1991,192,63af8fcbabaabaf6d8915b49
January 26 1981,LSU,6,2004,7,Ronald Dupree,duprero01,F,2011,209,63af8fcbabaabaf6d8915b4a
September 29 1988,Texas,6,2008,10,Kevin Durant,duranke01,F-G,2023,240,63af8fcbabaabaf6d8915b4b
November 18 2003,Memphis,6,2023,10,Jalen Duren,durenja01,C,2023,250,63af8fcbabaabaf6d8915b4c
October 30 1958,Georgetown,6,1981,3,John Duren,durenjo01,G,1983,195,63af8fcbabaabaf6d8915b4d
August 22 1949,Duquesne,6,1972,5,Jarrett Durham,durhaja01,F,1972,188,63af8fcbabaabaf6d8915b4e
March 10 1967,Colorado State,6,1993,7,Pat Durham,durhapa01,F,1995,210,63af8fcbabaabaf6d8915b4f
October 20 1960,BYU,6,1985,7,Devin Durrant,durrade01,F,1986,200,63af8fcbabaabaf6d8915b50
December 8 1948,La Salle,6,1972,7,Ken Durrett,durreke01,F,1975,190,63af8fcbabaabaf6d8915b51
August 3 1998,Duke,6,2019,2,Trevon Duval,duvaltr01,G,2019,189,63af8fcbabaabaf6d8915b52
May 3 1921,Loyola Chicago,6,1949,4,Jack Dwan,dwanja01,F-G,1949,200,63af8fcbabaabaf6d8915b53
June 11 1959,Cal State Long Beach,6,1982,8,Craig Dykema,dykemcr01,F,1982,190,63af8fcbabaabaf6d8915b54
February 17 1930,DePaul,6,1954,6,Gene Dyker,dykerge01,F,1954,225,63af8fcbabaabaf6d8915b55
May 1 1987,UConn,6,2012,3,Jerome Dyson,dysonje01,G,2012,180,63af8fcbabaabaf6d8915b56
November 24 1966,New Orleans,6,1989,5,Ledell Eackles,eacklle01,G-F,1998,220,63af8fcbabaabaf6d8915b57
May 24 1946,BYU,6,1969,11,Jim Eakins,eakinji01,C,1978,215,63af8fcbabaabaf6d8915b58
June 23 1970,Iowa,6,1994,10,Acie Earl,earlac01,F-C,1997,240,63af8fcbabaabaf6d8915b59
April 28 1927,Loyola Chicago,6,1954,3,Ed Earle,earleed01,F,1954,190,63af8fcbabaabaf6d8915b5a
April 17 1991,Wichita State,6,2015,8,Cleanthony Early,earlycl01,F,2016,210,63af8fcbabaabaf6d8915b5b
